              0	   2072
              1	   2072
              2	   2070
              3	   2072
              4	   2072
              5	   2072
              6	   2072
              7	   2072
              8	   2072
              9	   2074
             10	   2074
             11	   2073
             12	   2074
             13	   2073
             14	   2073
             15	   2075
             16	   2076
             17	   2075
             18	   2076
             19	   2076
             20	   2074
             21	   2075
             22	   2075
             23	   2075
             24	   2075
             25	   2074
             26	   2073
             27	   2073
             28	   2075
             29	   2075
             30	   2073
             31	   2076
             32	   2077
             33	   2077
             34	   2077
             35	   2077
             36	   2078
             37	   2078
             38	   2077
             39	   2078
             40	   2078
             41	   2078
             42	   2077
             43	   2078
             44	   2076
             45	   2077
             46	   2078
             47	   2077
             48	   2077
             49	   2077
             50	   2077
             51	   2077
             52	   2077
             53	   2076
             54	   2076
             55	   2076
             56	   2077
             57	   2077
             58	   2076
             59	   2076
             60	   2075
             61	   2075
             62	   2077
             63	   2076
             64	   2075
             65	   2077
             66	   2076
             67	   2075
             68	   2077
             69	   2077
             70	   2076
             71	   2075
             72	   2077
             73	   2077
             74	   2076
             75	   2077
             76	   2076
             77	   2075
             78	   2076
             79	   2077
             80	   2077
             81	   2076
             82	   2077
             83	   2077
             84	   2077
             85	   2077
             86	   2076
             87	   2078
             88	   2077
             89	   2078
             90	   2077
             91	   2078
             92	   2078
             93	   2077
             94	   2077
             95	   2079
             96	   2080
             97	   2078
             98	   2078
             99	   2079
            100	   2078
            101	   2078
            102	   2078
            103	   2077
            104	   2076
            105	   2076
            106	   2076
            107	   2077
            108	   2078
            109	   2077
            110	   2077
            111	   2078
            112	   2080
            113	   2079
            114	   2080
            115	   2082
            116	   2080
            117	   2080
            118	   2081
            119	   2080
            120	   2079
            121	   2079
            122	   2078
            123	   2077
            124	   2077
            125	   2077
            126	   2076
            127	   2076
            128	   2076
            129	   2077
            130	   2078
            131	   2078
            132	   2081
            133	   2082
            134	   2084
            135	   2084
            136	   2083
            137	   2084
            138	   2082
            139	   2082
            140	   2082
            141	   2083
            142	   2084
            143	   2085
            144	   2082
            145	   2081
            146	   2081
            147	   2082
            148	   2080
            149	   2082
            150	   2084
            151	   2082
            152	   2082
            153	   2084
            154	   2084
            155	   2084
            156	   2084
            157	   2084
            158	   2085
            159	   2086
            160	   2086
            161	   2086
            162	   2087
            163	   2085
            164	   2085
            165	   2086
            166	   2088
            167	   2090
            168	   2089
            169	   2087
            170	   2085
            171	   2087
            172	   2088
            173	   2087
            174	   2087
            175	   2085
            176	   2084
            177	   2085
            178	   2086
            179	   2085
            180	   2087
            181	   2085
            182	   2086
            183	   2088
            184	   2089
            185	   2089
            186	   2088
            187	   2088
            188	   2088
            189	   2090
            190	   2088
            191	   2087
            192	   2087
            193	   2087
            194	   2086
            195	   2088
            196	   2088
            197	   2084
            198	   2084
            199	   2085
            200	   2084
            201	   2084
            202	   2084
            203	   2082
            204	   2083
            205	   2082
            206	   2081
            207	   2082
            208	   2083
            209	   2081
            210	   2082
            211	   2080
            212	   2078
            213	   2079
            214	   2078
            215	   2077
            216	   2078
            217	   2079
            218	   2077
            219	   2077
            220	   2078
            221	   2077
            222	   2075
            223	   2075
            224	   2074
            225	   2074
            226	   2073
            227	   2072
            228	   2073
            229	   2073
            230	   2073
            231	   2074
            232	   2073
            233	   2073
            234	   2072
            235	   2072
            236	   2071
            237	   2072
            238	   2074
            239	   2073
            240	   2075
            241	   2077
            242	   2075
            243	   2077
            244	   2078
            245	   2077
            246	   2077
            247	   2078
            248	   2077
            249	   2077
            250	   2079
            251	   2079
            252	   2078
            253	   2080
            254	   2082
            255	   2080
            256	   2081
            257	   2080
            258	   2080
            259	   2081
            260	   2083
            261	   2084
            262	   2086
            263	   2088
            264	   2090
            265	   2092
            266	   2094
            267	   2099
            268	   2099
            269	   2100
            270	   2104
            271	   2108
            272	   2109
            273	   2112
            274	   2115
            275	   2117
            276	   2120
            277	   2124
            278	   2123
            279	   2123
            280	   2122
            281	   2120
            282	   2120
            283	   2122
            284	   2120
            285	   2117
            286	   2117
            287	   2114
            288	   2108
            289	   2105
            290	   2105
            291	   2102
            292	   2099
            293	   2098
            294	   2097
            295	   2096
            296	   2096
            297	   2095
            298	   2094
            299	   2094
            300	   2093
            301	   2091
            302	   2094
            303	   2094
            304	   2091
            305	   2091
            306	   2092
            307	   2091
            308	   2089
            309	   2089
            310	   2089
            311	   2090
            312	   2091
            313	   2088
            314	   2087
            315	   2087
            316	   2086
            317	   2085
            318	   2084
            319	   2084
            320	   2082
            321	   2081
            322	   2079
            323	   2080
            324	   2079
            325	   2079
            326	   2080
            327	   2079
            328	   2078
            329	   2079
            330	   2079
            331	   2078
            332	   2077
            333	   2077
            334	   2077
            335	   2076
            336	   2076
            337	   2076
            338	   2077
            339	   2076
            340	   2076
            341	   2077
            342	   2077
            343	   2077
            344	   2077
            345	   2077
            346	   2077
            347	   2076
            348	   2078
            349	   2076
            350	   2076
            351	   2076
            352	   2077
            353	   2076
            354	   2076
            355	   2075
            356	   2076
            357	   2077
            358	   2075
            359	   2075
            360	   2075
            361	   2073
            362	   2074
            363	   2074
            364	   2073
            365	   2074
            366	   2075
            367	   2075
            368	   2075
            369	   2077
            370	   2077
            371	   2075
            372	   2077
            373	   2077
            374	   2077
            375	   2077
            376	   2077
            377	   2077
            378	   2077
            379	   2076
            380	   2076
            381	   2076
            382	   2076
            383	   2076
            384	   2076
            385	   2076
            386	   2075
            387	   2075
            388	   2075
            389	   2075
            390	   2075
            391	   2075
            392	   2075
            393	   2076
            394	   2075
            395	   2075
            396	   2076
            397	   2076
            398	   2074
            399	   2075
            400	   2076
            401	   2075
            402	   2072
            403	   2073
            404	   2071
            405	   2069
            406	   2071
            407	   2071
            408	   2071
            409	   2070
            410	   2070
            411	   2071
            412	   2070
            413	   2070
            414	   2070
            415	   2069
            416	   2069
            417	   2067
            418	   2069
            419	   2069
            420	   2068
            421	   2068
            422	   2070
            423	   2069
            424	   2067
            425	   2070
            426	   2071
            427	   2069
            428	   2068
            429	   2069
            430	   2069
            431	   2070
            432	   2069
            433	   2068
            434	   2069
            435	   2071
